[2023-12-12 08:37:53] This is codeql database finalize codeql-dbs/javascript
[2023-12-12 08:37:53] Log file was started late.
[2023-12-12 08:37:53] [PROGRESS] database finalize> Running TRAP import for CodeQL database at /Users/lkemperman/Documents/la-doc-uploader/codeql-dbs/javascript...
[2023-12-12 08:37:53] Running plumbing command: codeql dataset import --dbscheme=/Users/lkemperman/Documents/codeql/javascript/semmlecode.javascript.dbscheme -- /Users/lkemperman/Documents/la-doc-uploader/codeql-dbs/javascript/db-javascript /Users/lkemperman/Documents/la-doc-uploader/codeql-dbs/javascript/trap/javascript
[2023-12-12 08:37:53] Clearing disk cache since the version file /Users/lkemperman/Documents/la-doc-uploader/codeql-dbs/javascript/db-javascript/default/cache/version does not exist
[2023-12-12 08:37:53] Tuple pool not found. Clearing relations with cached strings
[2023-12-12 08:37:53] Trimming disk cache at /Users/lkemperman/Documents/la-doc-uploader/codeql-dbs/javascript/db-javascript/default/cache in mode clear.
[2023-12-12 08:37:53] Sequence stamp origin is -6242153109550806259
[2023-12-12 08:37:53] Pausing evaluation to hard-clear memory at sequence stamp o+0
[2023-12-12 08:37:53] Unpausing evaluation
[2023-12-12 08:37:53] Pausing evaluation to quickly trim disk at sequence stamp o+1
[2023-12-12 08:37:53] Unpausing evaluation
[2023-12-12 08:37:53] Pausing evaluation to zealously trim disk at sequence stamp o+2
[2023-12-12 08:37:53] Unpausing evaluation
[2023-12-12 08:37:53] Trimming completed (7ms): Purged everything.
[2023-12-12 08:37:53] Scanning for files in /Users/lkemperman/Documents/la-doc-uploader/codeql-dbs/javascript/trap/javascript
[2023-12-12 08:37:53] Found 442 TRAP files (12.45 MiB)
[2023-12-12 08:37:53] [PROGRESS] dataset import> Importing TRAP files
[2023-12-12 08:37:53] Importing es2016.js.trap.gz (1 of 442)
[2023-12-12 08:37:53] Importing es2017.js.trap.gz (2 of 442)
[2023-12-12 08:37:53] Importing es3.js.trap.gz (3 of 442)
[2023-12-12 08:37:53] Importing es5.js.trap.gz (4 of 442)
[2023-12-12 08:37:54] Importing es6.js.trap.gz (5 of 442)
[2023-12-12 08:37:54] Importing es6_collections.js.trap.gz (6 of 442)
[2023-12-12 08:37:54] Importing intl.js.trap.gz (7 of 442)
[2023-12-12 08:37:54] Importing proxy.js.trap.gz (8 of 442)
[2023-12-12 08:37:54] Importing bdd.js.trap.gz (9 of 442)
[2023-12-12 08:37:54] Importing jquery-3.2.js.trap.gz (10 of 442)
[2023-12-12 08:37:54] Importing should.js.trap.gz (11 of 442)
[2023-12-12 08:37:54] Importing vows.js.trap.gz (12 of 442)
[2023-12-12 08:37:54] Importing assert.js.trap.gz (13 of 442)
[2023-12-12 08:37:54] Importing assert_legacy.js.trap.gz (14 of 442)
[2023-12-12 08:37:54] Importing buffer.js.trap.gz (15 of 442)
[2023-12-12 08:37:54] Importing child_process.js.trap.gz (16 of 442)
[2023-12-12 08:37:54] Importing cluster.js.trap.gz (17 of 442)
[2023-12-12 08:37:54] Importing console.js.trap.gz (18 of 442)
[2023-12-12 08:37:54] Importing constants.js.trap.gz (19 of 442)
[2023-12-12 08:37:54] Importing crypto.js.trap.gz (20 of 442)
[2023-12-12 08:37:54] Importing dgram.js.trap.gz (21 of 442)
[2023-12-12 08:37:54] Importing dns.js.trap.gz (22 of 442)
[2023-12-12 08:37:54] Importing domain.js.trap.gz (23 of 442)
[2023-12-12 08:37:54] Importing events.js.trap.gz (24 of 442)
[2023-12-12 08:37:54] Importing fs.js.trap.gz (25 of 442)
[2023-12-12 08:37:54] Importing globals.js.trap.gz (26 of 442)
[2023-12-12 08:37:54] Importing http.js.trap.gz (27 of 442)
[2023-12-12 08:37:54] Importing https.js.trap.gz (28 of 442)
[2023-12-12 08:37:54] Importing module.js.trap.gz (29 of 442)
[2023-12-12 08:37:54] Importing net.js.trap.gz (30 of 442)
